Company,Location HQ,# Laid Off,Date,%,Industry,Source,Stage,$ Raised (m...,Country,Date Added
Stone,Sao Paulo,400.0,2026-03-13,3%,Finance,https://jovempan.com....,Post-I...,$521,Brazil,18.3.2026
Digg,New York City,,2026-03-13,,Consumer,https://techcrunch.com...,Acquir...,$49,United States,14.3.2026
Atlassian,SydneyN,1600.0,2026-03-11,10%,Other,https://au.finance.yaho...,Post-I...,$210,Australia,11.3.2026
InvestCloud,Los Angeles,150.0,2026-03-10,,Finance,https://citywire.com/ria...,Privat...,$54,United States,18.3.2026
Flipkart,Bengaluru,500.0,2026-03-06,,Retail,https://inc42.com/buzz...,Acquir...,"$12,900",India,7.3.2026
SSense,Montreal,215.0,2026-03-05,,Retail,https://betakit.com/sse...,Series A,,Canada,7.3.2026
Supernal,Los Angeles,296.0,2026-03-04,80%,Transpor...,https://www.latimes.co...,Unkno...,,United States,7.3.2026
Envato,Melbourne,200.0,2026-03-04,30%,Marketing,https://www.startupdail...,Unkno...,,Australia,7.3.2026
Amazon,Seattle,100.0,2026-03-04,,Retail,https://finance.yahoo.c...,Post-I...,"$8,100",United States,18.3.2026
At-Bay,Tel AvivN,25.0,2026-03-04,,Security,https://www.calcalistec...,Unkno...,$296,United States,7.3.2026
MicroVision,Seattle,49.0,2026-03-03,,Other,https://www.bizjournal...,Post-I...,$415,United States,7.3.2026
Verint Systems,New York City,,2026-03-02,,Security,https://www.calcalistec...,Acquir...,$213,United States,7.3.2026
Zap Africa,LagosNo,,2026-02-28,44%,Finance,https://techcabal.com/...,Seed,,Nigeria,4.3.2026
Block,SF Bay Area,4000.0,2026-02-26,40%,Finance,https://www.cnbc.com/...,Post-I...,$150,United States,26.2.2026
Ocado,London,1000.0,2026-02-26,5%,Food,https://www.theguardi...,Post-I...,"$2,000",United Kin...,4.3.2026
eBay,SF Bay Area,800.0,2026-02-26,6%,Retail,https://www.cnbc.com/...,Post-I...,"$1,200",Israel,26.2.2026
C3.ai,SF Bay Area,280.0,2026-02-25,26%,AI,https://www.morningst...,Series F,$228,United States,26.2.2026
Deliveroo,London,187.0,2026-02-25,,Food,https://in.investing.co...,Post-I...,"$1,700",United Kin...,18.3.2026
WiseTech,SydneyN,2000.0,2026-02-24,30%,Logistics,https://www.bloomber...,Post-I...,"$3,000",Australia,25.2.2026
TrueCar,Los Angeles,100.0,2026-02-24,30%,Transpor...,https://aimgroup.com/...,Post-I...,$340,United States,25.2.2026
DraftKings,Boston,,2026-02-24,,Consumer,https://next.io/news/pe...,Post-I...,$719,United States,25.2.2026
Livspace,Bengaluru,1000.0,2026-02-20,12%,Consumer,https://inc42.com/buzz...,Series F,$482,India,22.2.2026
Lucid Motors,SF Bay Area,,2026-02-20,12%,Transpor...,https://techcrunch.com...,Post-I...,"$8,300",United States,22.2.2026
Codecademy,New York City,,2026-02-19,,Education,https://www.edtechinn...,Acquir...,$87,United States,18.3.2026
Cyberark,Boston,500.0,2026-02-17,12%,Security,https://www.calcalistec...,Acquir...,"$1,700",United States,18.2.2026
Huawei,Tel AvivN,50.0,2026-02-15,,Hardware,https://www.calcalistec...,Unkno...,,Israel,18.2.2026
Axonius,New York City,40.0,2026-02-15,4%,Security,https://www.calcalistec...,Series E,$865,United States,18.2.2026
Firebolt,Tel AvivN,,2026-02-15,,Data,https://www.calcalistec...,Series C,$264,Israel,7.3.2026
Clari,SF Bay Area,76.0,2026-02-12,,Sales,https://www.bizjournal...,Acquir...,$496,United States,18.2.2026
Glossier,New York City,50.0,2026-02-11,33%,Retail,https://www.businessof...,Series E,$266,United States,13.2.2026
Dayforce,Toronto,,2026-02-11,5%,HR,Internal memo,Post-I...,$40,Canada,18.2.2026
Fi.Money,Bengaluru,,2026-02-10,40%,Finance,https://www.moneycon...,Series C,,India,18.3.2026
Salesforce,SF Bay Area,,2026-02-09,,Sales,https://www.businessin...,Post-I...,$65,United States,12.2.2026
Workday,SF Bay Area,400.0,2026-02-04,2%,HR,https://www.bloomber...,Post-I...,$230,United States,5.2.2026
Rewire,Tel AvivN,110.0,2026-02-04,,Finance,https://www.calcalistec...,Acquir...,$57,Israel,18.2.2026
Smartsheet,Seattle,,2026-02-04,,Other,https://www.geekwire.c...,Post-I...,$152,United States,7.2.2026
Zillow,Seattle,200.0,2026-02-02,,Real Estate,https://www.seattletim...,Post-I...,$97,United States,5.2.2026
Zipcar,Boston,126.0,2026-02-02,,Transpor...,https://www.boston.co...,Acquir...,$107,United States,10.2.2026
Expedia,Seattle,100.0,2026-02-01,,Travel,https://finance.yahoo.c...,Post-I...,"$3,300",United States,7.2.2026
Zupee,New Delhi,200.0,2026-01-30,,Consumer,https://yourstory.com/...,Series B,$121,India,3.2.2026
Peloton,New York City,,2026-01-30,11%,Fitness,https://www.reuters.co...,Post-I...,"$1,900",United States,3.2.2026
Kiwi.com,BrnoNon,250.0,2026-01-29,36%,Travel,https://forbes.cz/kiwi-p...,Unkno...,$107,Czech Repu...,3.2.2026
Gloo,Boulder,,2026-01-29,,Consumer,https://www.bizjournal...,Post-I...,$152,United States,18.2.2026
Amazon,Seattle,16000.0,2026-01-28,,Retail,https://www.aboutama...,Post-I...,"$8,100",United States,28.1.2026
ASML,Veldhoven,1700.0,2026-01-28,,Hardware,https://www.asml.com/...,Post-I...,,Netherlands,3.2.2026
Pinterest,SF Bay Area,700.0,2026-01-27,15%,Consumer,https://www.theverge.c...,Post-I...,"$1,500",United States,27.1.2026
Moon Active,Tel AvivN,110.0,2026-01-27,5%,Consumer,https://www.calcalistec...,Unkno...,$425,Israel,7.3.2026
Expedia,Seattle,,2026-01-26,,Travel,https://www.bizjournal...,Post-I...,"$3,300",United States,28.1.2026
Entropy,New York City,,2026-01-25,100%,Crypto,https://www.theblock.c...,Seed,$27,United States,26.1.2026
Autodesk,SF Bay Area,1000.0,2026-01-22,7%,Other,https://www.reuters.co...,Post-I...,,United States,23.1.2026
Shopify,OttawaN,,2026-01-22,,Retail,https://betakit.com/sh...,Post-I...,$122,Canada,26.1.2026
Vimeo,New York City,,2026-01-21,,Consumer,https://www.businessin...,Post-I...,$450,United States,23.1.2026
Vimeo,Tel AvivN,,2026-01-20,,Consumer,https://www.calcalistec...,Post-I...,$450,United States,7.3.2026
Polygon,Cayman Islan,60.0,2026-01-16,,Crypto,https://www.coindesk.c...,Unkno...,$451,Cayman Isl...,17.1.2026
Ericsson,Stockholm,1600.0,2026-01-15,,Other,https://www.reuters.co...,Post-I...,$663,Sweden,16.1.2026
Tipalti,SF Bay Area,100.0,2026-01-15,,Finance,https://en.globes.co.il/...,Series F,$565,United States,19.1.2026
Playtika,Tel AvivN,500.0,2026-01-14,15%,Consumer,https://www.calcalistec...,Post-I...,,Israel,15.1.2026
Aleph Alpha,Frankfurt,50.0,2026-01-14,16%,AI,https://www.startbase.c...,Series B,$534,Germany,19.1.2026
Meta,SF Bay Area,1500.0,2026-01-13,2%,Consumer,https://www.nytimes.co...,Post-I...,"$26,000",United States,14.1.2026
eToro,Tel AvivN,105.0,2026-01-13,7%,Finance,https://www.calcalistec...,Unkno...,$322,Israel,14.1.2026
StoreDot,Tel AvivN,,2026-01-13,,Other,https://www.calcalistec...,Series D,$184,Israel,14.1.2026
MercadoLibre,Buenos Aires,116.0,2026-01-12,,Retail,https://eleconomista.c...,Post-I...,"$5,100",Brazil,14.1.2026
FormFactor,SF Bay Area,220.0,2026-01-09,11%,Manufac...,https://www.latimes.co...,Post-I...,$15,United States,13.1.2026
Kaseya,Miami,250.0,2026-01-08,5%,Security,https://www.crn.com/n...,Privat...,$547,United States,13.1.2026
Hailo,Tel AvivN,30.0,2026-01-08,10%,Manufac...,https://www.calcalistec...,Series C,$344,Israel,13.1.2026
Foretellix,Tel AvivN,29.0,2026-01-08,18%,Transpor...,https://www.calcalistec...,Series C,$132,Israel,13.1.2026
Tailwind Labs,Oklahoma Cit,3.0,2026-01-08,,Product,https://www.businessin...,Unkno...,,United States,13.1.2026
Angi,Indianapolis,350.0,2026-01-07,,Consumer,https://ir.angi.com/nod...,Post-I...,$180,United States,13.1.2026
Multiverse,London,55.0,2026-01-05,,Education,https://sifted.eu/article...,Series D,$414,United Kin...,13.1.2026
Sapiens,Tel AvivN,700.0,2025-12-28,15%,Finance,https://www.calcalistec...,Acquir...,$88,Israel,1.1.2026
Yellow.ai,SF Bay Area,100.0,2025-12-23,30%,Support,https://inc42.com/buzz...,Series C,$102,United States,26.12.2025
The Trade Desk,Los Angeles,,2025-12-17,,Marketing,https://www.adexchan...,Post-I...,$257,United States,19.12.2025
Amazon,Seattle,84.0,2025-12-15,,Retail,https://www.bizjournal...,Post-I...,"$8,100",United States,19.12.2025
PowerSchool,Sacramento,,2025-12-12,,Education,https://www.bizjournal...,Acquir...,$31,United States,15.12.2025
Zebra Technologies,Chicago,,2025-12-12,,Manufac...,https://www.therobotr...,Post-I...,"$2,000",United States,19.12.2025
Believer Meats,Jerusalem,,2025-12-11,,Food,https://www.calcalistec...,Series B,$389,Israel,12.12.2025
EyeEm,BerlinNo,,2025-12-11,100%,Other,https://petapixel.com/2...,Acquir...,$24,Germany,12.12.2025
Lusha,Boston,24.0,2025-12-10,8%,Sales,https://www.calcalistec...,Series B,$245,United States,12.12.2025
Tenstorrent,Toronto,80.0,2025-12-09,7%,Hardware,https://www.eetimes.co...,Series D,"$1,000",Canada,12.12.2025
Whatfix,Bengaluru,60.0,2025-12-09,6%,AI,https://inc42.com/buzz...,Series E,$265,India,7.2.2026
VSCO,SF Bay Area,24.0,2025-12-09,,Consumer,https://techcrunch.com...,Series B,$90,United States,10.12.2025
GenWise,New Delhi,,2025-12-09,100%,Other,https://inc42.com/buzz...,Seed,$3,India,10.12.2025
Mobileye,Jerusalem,200.0,2025-12-08,4%,Transpor...,https://www.calcalistec...,Post-I...,"$2,100",Israel,9.12.2025
Payoneer,New York City,60.0,2025-12-08,6%,Finance,https://www.calcalistec...,Post-I...,,United States,9.12.2025
Teads,New York City,180.0,2025-12-04,10%,Marketing,https://www.calcalistec...,Unkno...,$123,United States,10.12.2025
Cellebrite,Tel AvivN,20.0,2025-12-03,1%,Other,https://www.calcalistec...,Post-I...,$410,Israel,9.12.2025
Modern Hydrogen,Seattle,,2025-12-03,,Energy,https://fuelcellsworks.c...,Series B,$99,United States,4.12.2025
Aqua Security,Tel AvivN,20.0,2025-12-01,,Security,https://www.calcalistec...,Series E,$325,United States,2.12.2025
Inbound Health,Minneapolis,,2025-12-01,100%,Healthcare,https://www.axios.com...,Series B,$50,United States,2.12.2025
Junglee Games,New Delhi,350.0,2025-11-26,,Consumer,https://inc42.com/buzz...,Seed,$3,India,9.12.2025
Shopify,OttawaN,,2025-11-26,,Retail,https://www.thecanadi...,Post-I...,$122,Canada,4.12.2025
HP,SF Bay Area,4000.0,2025-11-25,,Hardware,https://www.wsj.com/t...,Post-I...,,United States,1.3.2025
ezCater,Boston,40.0,2025-11-21,4%,Food,https://www.bizjournal...,Series D,$319,United States,23.11.2025
Monarch Tractor,SF Bay Area,102.0,2025-11-19,,Other,https://techcrunch.com...,Unkno...,$214,United States,23.11.2025
Pleo,Copenhagen,100.0,2025-11-19,12%,Finance,https://tech.eu/2025/1...,Series C,$428,Denmark,23.11.2025
UKG,Montevideo,300.0,2025-11-18,,HR,https://www.elobserva...,Unkno...,,Uruguay,23.11.2025
Culture Amp,Melbourne,60.0,2025-11-18,6%,HR,https://www.capitalbrie...,Series F,$257,Australia,23.11.2025
Veson Nautical,Boston,,2025-11-18,20%,Other,https://www.tradewind...,Privat...,,United States,23.11.2025
Playtika,Tel AvivN,700.0,2025-11-17,20%,Consumer,https://www.calcalistec...,Post-I...,,Israel,23.11.2025
Pipe,SF Bay Area,200.0,2025-11-16,50%,Finance,https://fintechbusiness...,Series D,$453,United States,17.11.2025
Flipkart,Bengaluru,40.0,2025-11-16,,Retail,https://www.calcalistec...,Acquir...,"$12,900",India,17.11.2025
BharatAgri,Mumbai,37.0,2025-11-13,100%,Food,https://inc42.com/buzz...,Series A,$21,India,9.12.2025
AI Fleet,Austin,,2025-11-13,,Transpor...,https://www.bizjournal...,Series B,$56,United States,14.11.2025
Synopsys,SF Bay Area,2000.0,2025-11-12,10%,Other,https://www.reuters.co...,Post-I...,,United States,14.11.2025
Deepwatch,Tampa Bay,80.0,2025-11-12,32%,Security,https://techcrunch.com...,Series C,$256,United States,14.11.2025
GamesKraft,Bengaluru,280.0,2025-11-10,,Consumer,https://inc42.com/buzz...,Unkno...,,India,11.11.2025
Sonder,SF Bay Area,,2025-11-10,100%,Travel,https://skift.com/2025/...,Post-I...,$839,United States,10.11.2025
Axonius,New York City,100.0,2025-11-06,11%,Security,https://www.calcalistec...,Series E,$865,United States,7.11.2025
MyBambu,Memphis,141.0,2025-11-05,100%,Finance,https://cbs12.com/new...,Unkno...,$15,United States,7.11.2025
Hewlett Packard E...,SF Bay Area,52.0,2025-11-05,,Hardware,https://www.sfchronicl...,Post-I...,"$1,400",United States,7.11.2025
Indeed,Austin,,2025-11-05,,HR,https://www.businessin...,Acquir...,$5,United States,8.11.2025
TripAdvisor,Boston,,2025-11-05,20%,Travel,https://skift.com/2025/...,Post-I...,$3,United States,7.11.2025
Porter,Bengaluru,350.0,2025-11-04,18%,Logistics,https://inc42.com/buzz...,Series F,$357,India,7.11.2025
Personio,MunichN,165.0,2025-10-29,10%,HR,Internal memo,Series E,$724,Germany,31.10.2025
Amazon,Seattle,14000.0,2025-10-27,1%,Retail,https://www.cnbc.com/...,Post-I...,"$8,100",United States,28.10.2025
Chegg,SF Bay Area,388.0,2025-10-27,45%,Education,https://www.reuters.co...,Post-I...,$227,United States,28.10.2025
Lightricks,Jerusalem,85.0,2025-10-27,15%,Consumer,https://www.calcalistec...,Series D,$335,Israel,7.11.2025
Medtronic,Jerusalem,60.0,2025-10-27,,Healthcare,https://www.calcalistec...,Post-I...,"$5,900",United States,9.12.2025
Hootsuite,Vancouver,,2025-10-27,20%,Marketing,https://www.biv.com/n...,Series C,$300,Canada,28.10.2025
Robin AI,London,,2025-10-24,33%,Legal,https://sifted.eu/article...,Series B,$68,United Kin...,28.10.2025
Applied Material,SF Bay Area,1400.0,2025-10-23,4%,Manufac...,https://www.bloomber...,Post-I...,"$2,100",United States,25.10.2025
Rivian,Los Angeles,600.0,2025-10-23,4%,Transpor...,https://www.reuters.co...,Post-I...,"$10,700",United States,25.10.2025
Kaseya,Miami,200.0,2025-10-23,,Security,https://www.crn.com/n...,Privat...,$547,United States,13.1.2026
Altruist,SF Bay Area,50.0,2025-10-23,15%,Finance,https://www.investmen...,Series E,$449,United States,25.10.2025
Meta,SF Bay Area,600.0,2025-10-22,,Consumer,https://www.cnbc.com/...,Post-I...,"$26,000",United States,22.10.2025
Ludeo,Los Angeles,25.0,2025-10-20,50%,Consumer,https://www.calcalistec...,Series A,$42,United States,25.10.2025
Zepto,Mumbai,300.0,2025-10-18,5%,Retail,https://www.moneycon...,Series H,"$2,600",India,2.12.2025
Broadcom,SF Bay Area,247.0,2025-10-17,,Hardware,https://www.businessin...,Post-I...,,United States,11.11.2025
Tia,New York City,,2025-10-17,23%,Healthcare,https://www.businessin...,Series B,$133,United States,25.10.2025
Bill.com,SF Bay Area,,2025-10-15,6%,Finance,https://www.bill.com/bl...,Post-I...,$280,United States,15.10.2025
OfferUp,Seattle,,2025-10-15,,Retail,https://www.geekwire.c...,Unkno...,$381,United States,22.10.2025
Handshake,SF Bay Area,100.0,2025-10-14,15%,Recruiting,https://www.upstartsm...,Series F,$434,United States,15.10.2025
Smartsheet,Seattle,120.0,2025-10-02,,Other,https://www.geekwire.c...,Post-I...,$152,United States,6.10.2025
Google,SF Bay Area,50.0,2025-10-02,,Consumer,https://www.sfchronicl...,Post-I...,$26,United States,6.10.2025
Paycom,Oklahoma Cit,500.0,2025-10-01,,HR,https://www.oklahoma...,Post-I...,,United States,2.10.2025
Google,SF Bay Area,100.0,2025-10-01,,Consumer,https://www.cnbc.com/...,Post-I...,$26,United States,6.10.2025
Simpl,Bengaluru,80.0,2025-10-01,,Finance,https://inc42.com/buzz...,Series B,$72,India,2.10.2025
